Station_ID,Correction_Factor (ft NAVD88),
CRMS0002-H01,-0.51,
CRMS0003-H01,-0.51,
CRMS0006-H01,-0.48,
CRMS0008-H02,-0.54,
CRMS0030-H01,-0.65,
CRMS0033-H01,-0.49,
CRMS0034-H01,-0.48,
CRMS0038-H01,-0.41,
CRMS0039-H01,-0.29,
CRMS0046-H01,-0.15,
CRMS0047-H01,-0.52,
CRMS0056-H01,-0.49,
CRMS0058-H02,-0.48,
CRMS0059-H02,-0.24,
CRMS0061-H01,-0.55,
CRMS0063-H01,-0.46,
CRMS0065-H02,-0.44,
CRMS0086-H01,-0.06,
CRMS0089-H02,-0.31,
CRMS0090-W01,-0.38,
CRMS0097-H01,-0.39,
CRMS0103-H01,-0.45,
CRMS0108-H01,-0.43,
CRMS0114-H01,-0.26,
CRMS0115-H01,-0.4,
CRMS0115-M01,-0.4,
CRMS0117-H01,-0.46,
CRMS0118-H01,-1.26,
CRMS0119-H01,-0.81,
CRMS0120-H01,-0.33,
CRMS0121-H01,-0.52,
CRMS0125-H01,-0.59,
CRMS0129-H01,-0.89,
CRMS0131-H01,-0.36,
CRMS0132-H01,-0.49,
CRMS0135-H01,-0.53,
CRMS0136-H01,-0.54,
CRMS0139-H01,-1.25,
CRMS0146-H01,-0.54,
CRMS0147-H01,-0.6,
CRMS0148-H01,-0.68,
CRMS0154-H01,-2.06,
CRMS0156-H01,-1.87,
CRMS0157-H01,-2.27,
CRMS0159-H01,-1.79,
CRMS0161-H01,-1.55,
CRMS0163-H01,-1.41,
CRMS0164-H01,-0.73,
CRMS0171-H01,-1.13,
CRMS0172-H01,-1.14,
CRMS0173-H01,-1.05,
CRMS0174-H01,-1.18,
CRMS0175-H01,-0.7,
CRMS0178-H01,-0.47,
CRMS0179-H01,-1.14,
CRMS0181-H01,-1.02,
CRMS0185-H01,-0.62,
CRMS0188-H01,-0.56,
CRMS0188-M01,-0.56,
CRMS0189-H01,-0.45,
CRMS0189-M01,-0.45,
CRMS0190-H01,-0.78,
CRMS0190-M01,-0.78,
CRMS0192-H01,-0.9,
CRMS0192-M01,-0.9,
CRMS0194-W01,-2.19,
CRMS0197-W01,-1.29,
CRMS0200-W01,-0.85,
CRMS0206-H01,-0.79,
CRMS0209-H01,-1.17,
CRMS0211-H01,-0.87,
CRMS0211-M01,-0.87,
CRMS0217-H01,-1.59,
CRMS0218-H01,-1.04,
CRMS0219-M01,-0.56,
CRMS0219-W01,-0.56,
CRMS0220-H01,-0.61,
CRMS0224-H01,-0.86,
CRMS0225-H01,-0.79,
CRMS0226-H01,-0.86,
CRMS0232-H01,-0.72,
CRMS0234-H01,-0.43,
CRMS0237-H01,-0.82,
CRMS0237-H02,-0.91,
CRMS0241-W01,-0.6,
CRMS0248-H01,-0.77,
CRMS0251-H01,-0.62,
CRMS0253-H01,-0.62,
CRMS0258-H01,-0.91,
CRMS0260-H01,-0.88,
CRMS0261-H01,-0.72,
CRMS0263-H01,-0.81,
CRMS0268-H01,-0.78,
CRMS0268-M01,-0.78,
CRMS0272-H01,-1.11,
CRMS0273-H01,1.48,
CRMS0273-M01,-0.59,
CRMS0273-W01,-0.59,
CRMS0276-H01,-0.83,
CRMS0278-H01,-0.41,
CRMS0278-M01,-0.41,
CRMS0282-H01,-1.22,
CRMS0287-H01,-0.59,
CRMS0287-M01,-0.59,
CRMS0290-H01,-1.03,
CRMS0290-M01,-1.03,
CRMS0292-H01,-0.75,
CRMS0293-H01,-0.7,
CRMS0294-H01,-0.37,
CRMS0294-M01,-0.37,
CRMS0296-H01,-1.08,
CRMS0296-M01,-1.08,
CRMS0301-H01,-0.72,
CRMS0301-M01,-0.72,
CRMS0302-H01,-1.01,
CRMS0303-H01,-0.88,
CRMS0305-H01,-0.78,
CRMS0307-H01,-0.89,
CRMS0309-H01,-0.75,
CRMS0310-H01,-1.04,
CRMS0311-H01,-0.95,
CRMS0312-H01,-0.43,
CRMS0312-M01,-0.43,
CRMS0315-H01,-1.03,
CRMS0318-H01,-1.03,
CRMS0319-H01,-1.05,
CRMS0322-H01,-0.92,
CRMS0324-H01,-1.1,
CRMS0326-H01,-0.88,
CRMS0327-H01,-1.02,
CRMS0327-M01,-1.02,
CRMS0329-H01,-0.85,
CRMS0329-M01,-0.85,
CRMS0331-H01,-1.04,
CRMS0331-M01,-1.04,
CRMS0332-H01,-0.97,
CRMS0335-H01,-1.22,
CRMS0336-H01,-0.88,
CRMS0337-H01,-0.88,
CRMS0338-H01,-0.92,
CRMS0341-H01,-0.94,
CRMS0345-H01,-0.46,
CRMS0347-H01,-0.51,
CRMS0354-H01,-0.9,
CRMS0355-H01,-0.9,
CRMS0365-H01,-0.77,
CRMS0365-M01,-0.77,
CRMS0367-H01,-0.93,
CRMS0367-M01,-0.93,
CRMS0367-M02,-0.93,
CRMS0369-H01,-1.23,
CRMS0371-H01,-0.81,
CRMS0371-M01,-0.81,
CRMS0374-H01,-0.86,
CRMS0376-H01,-0.95,
CRMS0377-H01,-0.83,
CRMS0381-H01,-0.88,
CRMS0381-M01,-0.88,
CRMS0382-H01,-0.95,
CRMS0382-M01,-0.95,
CRMS0383-H01,-1.19,
CRMS0385-H01,-1.06,
CRMS0386-H01,-1.08,
CRMS0387-H01,-1.13,
CRMS0390-H01,-1,
CRMS0392-H01,-1.09,
CRMS0394-H01,-0.87,
CRMS0394-M01,-0.87,
CRMS0395-H01,-1.02,
CRMS0395-M01,-1.02,
CRMS0396-H01,-0.95,
CRMS0396-M01,-0.95,
CRMS0397-H01,-0.94,
CRMS0398-H01,-0.79,
CRMS0399-H01,-0.83,
CRMS0400-H01,-1.18,
CRMS0403-H01,-0.94,
CRMS0409-H01,-0.91,
CRMS0409-M01,-0.91,
CRMS0411-H01,-0.91,
CRMS0414-H01,-1.42,
CRMS0416-H01,-0.98,
CRMS0421-H01,0.1,
CRMS0434-H01,-0.82,
CRMS0461-H01,-0.8,
CRMS0463-H01,-0.7,
CRMS0463-M01,-0.7,
CRMS0464-H01,-1.28,
CRMS0464-M01,-1.28,
CRMS0465-H01,-1.11,
CRMS0479-H01,-0.69,
CRMS0482-H01,-0.37,
CRMS0488-H01,-0.67,
CRMS0489-H01,-0.78,
CRMS0490-W01,-0.54,
CRMS0493-H01,-0.39,
CRMS0494-H01,-0.07,
CRMS0496-H01,-0.9,
CRMS0498-H01,-0.86,
CRMS0499-H01,-0.85,
CRMS0501-H01,-0.71,
CRMS0504-H01,-0.98,
CRMS0507-H01,-1.07,
CRMS0508-H01,-0.6,
CRMS0511-W01,-1.03,
CRMS0513-H01,-0.85,
CRMS0514-H01,-0.54,
CRMS0517-H01,-0.98,
CRMS0520-H01,-0.5,
CRMS0522-W01,-0.83,
CRMS0523-H01,-0.79,
CRMS0524-W01,-0.8,
CRMS0527-H02,-0.44,
CRMS0529-H01,-0.52,
CRMS0530-W01,0.01,
CRMS0531-H01,-0.9,
CRMS0532-H01,-0.55,
CRMS0535-H01,-0.78,
CRMS0536-W01,-1.14,
CRMS0541-H01,-0.07,
CRMS0542-H01,-0.84,
CRMS0542-M01,-0.84,
CRMS0543-H01,-0.55,
CRMS0544-H02,-0.67,
CRMS0545-H01,-0.69,
CRMS0547-H01,0.15,
CRMS0549-H01,-0.86,
CRMS0550-H01,-0.32,
CRMS0551-H01,-0.54,
CRMS0552-H01,-0.82,
CRMS0553-H01,-0.94,
CRMS0554-H01,-0.48,
CRMS0556-H01,-0.89,
CRMS0557-H01,-0.72,
CRMS0560-H01,-0.29,
CRMS0562-H01,-0.95,
CRMS0565-H01,-0.79,
CRMS0567-H01,-1,
CRMS0568-H01,-0.75,
CRMS0570-H01,-0.75,
CRMS0571-H01,-0.46,
CRMS0572-H01,-0.1,
CRMS0574-H01,-0.49,
CRMS0575-H01,-0.7,
CRMS0575-W01,-0.7,
CRMS0576-H01,-0.77,
CRMS0580-H01,-1.11,
CRMS0581-H01,-0.87,
CRMS0583-H01,-0.57,
CRMS0584-H01,-0.85,
CRMS0587-H01,-1.09,
CRMS0588-H01,-0.92,
CRMS0590-H01,-0.78,
CRMS0593-H02,-0.67,
CRMS0595-H01,-0.58,
CRMS0599-H02,-0.9,
CRMS0600-H01,-0.73,
CRMS0603-H01,-1.17,
CRMS0604-H01,-1.13,
CRMS0605-H01,-0.57,
CRMS0608-H01,-0.55,
CRMS0609-H01,-0.74,
CRMS0610-W01,-0.76,
CRMS0614-H01,-0.8,
CRMS0615-H01,-1.04,
CRMS0616-H01,-0.41,
CRMS0618-H01,-0.44,
CRMS0619-H01,-0.39,
CRMS0622-W01,-1.15,
CRMS0623-H01,-0.84,
CRMS0624-H01,-0.76,
CRMS0626-H01,0.12,
