Site,SurveyDate,Subsidence_mmyr
CRMS0002,2021-06-10,2.32613988
CRMS0003,2021-06-15,4.184368214
CRMS0006,2022-03-25,1.952959
CRMS0008,2022-05-04,2.08662725
CRMS0030,2021-07-06,2.22452125
CRMS0033,2021-07-23,2.165271276
CRMS0034,2022-04-14,2.16792096
CRMS0035,2022-05-03,2.170775769
CRMS0038,2021-08-19,2.15488228
CRMS0039,2021-08-06,2.6683925
CRMS0046,2021-07-27,1.689715
CRMS0047,2022-05-09,2.50290796
CRMS0056,2021-08-11,2.5208605
CRMS0058,2021-08-22,2.513137
CRMS0059,2021-06-03,2.620090962
CRMS0061,2022-05-04,2.17110712
CRMS0063,2022-04-21,2.6046522
CRMS0065,2021-08-12,2.5616825
CRMS0086,2022-04-20,2.09370636
CRMS0089,2021-11-09,2.531988
CRMS0090,2022-04-11,2.501499
CRMS0097,2021-07-28,2.438093423
CRMS0103,2021-06-01,1.703012
CRMS0108,2021-06-15,3.967477786
CRMS0114,2021-08-20,3.59674712
CRMS0115,2021-06-14,3.647292357
CRMS0117,2021-08-20,3.274839
CRMS0118,2021-07-08,6.935449097
CRMS0119,2021-08-05,5.140114682
CRMS0120,2021-12-15,3.093392364
CRMS0121,2022-04-28,3.708591962
CRMS0125,2021-07-20,3.599968
CRMS0128,2021-11-18,3.225348
CRMS0129,2021-08-17,5.410381613
CRMS0131,2021-11-17,3.962047429
CRMS0132,2021-08-17,4.124043
CRMS0135,2021-11-17,3.800366143
CRMS0136,2021-07-22,4.966799571
CRMS0139,2022-03-31,6.578005129
CRMS0146,2021-12-13,3.536470286
CRMS0147,2021-12-13,3.18023337
CRMS0148,2021-12-16,4.72130932
CRMS0153,2021-07-27,24.2610186
CRMS0154,2021-08-11,27.058367
CRMS0156,2021-05-25,20.69560011
CRMS0157,2021-05-25,21.58811
CRMS0159,2021-05-25,35.12253022
CRMS0161,2021-06-08,17.56033626
CRMS0162,2021-05-25,20.12986595
CRMS0163,2021-05-24,12.40983626
CRMS0164,2021-08-16,6.034840182
CRMS0171,2021-06-22,6.458336
CRMS0172,2021-08-24,6.842021484
CRMS0173,2021-06-02,5.235133393
CRMS0174,2021-08-24,5.82393712
CRMS0175,2022-03-04,5.84377856
CRMS0176,2021-06-23,5.596788
CRMS0178,2022-03-04,5.841653
CRMS0179,2021-11-15,5.85590032
CRMS0181,2021-06-17,6.594719
CRMS0185,2021-11-16,3.605334091
CRMS0188,2021-08-22,3.625472
CRMS0189,2021-08-22,3.649003286
CRMS0190,2021-06-10,5.152502143
CRMS0192,2021-08-22,3.542723
CRMS0194,2022-02-22,3.172180643
CRMS0197,2022-02-23,3.826401615
CRMS0200,2021-12-02,3.283842909
CRMS0206,2022-03-07,3.75975925
CRMS0209,2021-05-11,4.922912929
CRMS0211,2021-08-22,3.7736125
CRMS0217,2021-11-22,3.71433752
CRMS0218,2021-12-02,4.200188
CRMS0219,2021-08-22,3.784646
CRMS0220,2021-06-15,5.0101585
CRMS0224,2021-07-13,5.010372
CRMS0225,2021-04-22,4.95974025
CRMS0226,2021-07-08,4.920527
CRMS0232,2021-04-22,5.18552808
CRMS0234,2022-04-07,3.529774773
CRMS0237,2021-05-06,5.12539575
CRMS0248,2021-06-24,4.77594916
CRMS0251,2021-04-22,5.09666
CRMS0253,2021-06-15,5.047931429
CRMS0258,2021-07-14,4.75390112
CRMS0260,2021-07-14,4.817839
CRMS0261,2021-04-28,4.840187036
CRMS0263,2021-07-12,4.709964
CRMS0268,2021-08-22,3.888109
CRMS0272,2021-05-13,5.630555577
CRMS0273,2021-08-22,3.730077167
CRMS0276,2021-05-12,4.51169696
CRMS0278,2021-08-22,3.619720333
CRMS0282,2022-05-12,4.849224909
CRMS0287,2021-06-03,4.1554343
CRMS0290,2021-08-22,5.708984
CRMS0292,2021-08-16,6.067951857
CRMS0293,2021-05-07,7.689461
CRMS0294,2021-08-22,5.779653
CRMS0296,2021-08-22,5.700541
CRMS0301,2021-08-22,5.834668
CRMS0302,2021-06-09,7.63863028
CRMS0303,2021-05-25,7.06712648
CRMS0305,2021-05-06,6.57882092
CRMS0307,2021-07-29,6.603004455
CRMS0309,2021-12-13,7.58445732
CRMS0310,2021-12-14,5.825260909
CRMS0311,2021-07-29,6.832987364
CRMS0312,2021-06-03,5.195107
CRMS0315,2021-07-01,5.613535
CRMS0318,2021-06-10,5.75145164
CRMS0319,2021-06-10,5.773402
CRMS0322,2021-05-25,7.61425
CRMS0324,2022-03-14,2.689276
CRMS0326,2021-05-25,7.084802
CRMS0327,2021-08-22,5.895647
CRMS0329,2021-08-22,5.838493833
