Site,Shift factor 99-12B ft
CRMS0002,-0.35
CRMS0003,-0.63
CRMS0006,-0.64
CRMS0008,-0.56
CRMS0030,-0.65
CRMS0033,-0.5
CRMS0034,-0.55
CRMS0035,0
CRMS0038,-0.6
CRMS0039,-0.41
CRMS0046,-0.47
CRMS0047,-0.51
CRMS0056,-0.6
CRMS0058,-0.51
CRMS0059,-0.36
CRMS0061,-0.65
CRMS0063,-0.33
CRMS0065,-0.89
CRMS0086,-0.19
CRMS0089,-0.51
CRMS0090,-0.39
CRMS0097,-0.57
CRMS0103,-0.78
CRMS0108,-0.43
CRMS0114,-0.28
CRMS0115,-0.37
CRMS0117,-0.58
CRMS0118,-1.46
CRMS0119,-0.68
CRMS0120,-0.39
CRMS0121,-0.53
CRMS0125,-0.58
CRMS0128,0
CRMS0129,-0.94
CRMS0131,-0.6
CRMS0132,-0.5
CRMS0135,-0.62
CRMS0136,-0.55
CRMS0139,-1.4
CRMS0146,-0.59
CRMS0147,-0.79
CRMS0148,-0.68
CRMS0153,0
CRMS0154,-2.84
CRMS0156,-2.43
CRMS0157,-2.66
CRMS0159,-2.35
CRMS0161,-1.86
CRMS0162,0
CRMS0163,-1.65
CRMS0164,-1.02
CRMS0171,-1.19
CRMS0172,-1.35
CRMS0173,-1.22
CRMS0174,-1.38
CRMS0175,-0.79
CRMS0176,0
CRMS0178,-0.63
CRMS0179,-1.26
CRMS0181,-1
CRMS0185,-0.94
CRMS0188,-0.57
CRMS0189,-0.44
CRMS0190,0
CRMS0192,-0.8
CRMS0194,-2.19
CRMS0197,-1.14
CRMS0200,-0.98
CRMS0206,-0.73
CRMS0209,-1.27
CRMS0211,0
CRMS0217,-0.81
CRMS0218,-1.27
CRMS0219,-0.59
CRMS0220,-0.62
CRMS0224,-0.98
CRMS0225,-1.13
CRMS0226,-0.97
CRMS0232,-0.8
CRMS0234,-0.32
CRMS0237,-0.94
CRMS0248,-0.8
CRMS0251,-0.71
CRMS0253,-0.58
CRMS0258,-1.13
CRMS0260,-0.93
CRMS0261,-0.76
CRMS0263,-0.91
CRMS0268,-0.95
CRMS0272,-1.14
CRMS0273,-0.56
CRMS0276,-0.94
